respondent_id,age_group,gender,occupation,monthly_income,region,current_smartphone_brand,current_phone_spend,smartphone_replacement_frequency,typical_smartphone_budget,purchase_channel,price_importance,brand_reputation,performance_importance,camera_importance,battery_importance,storage_importance,display_importance,design_importance,online_reviews_importance,recommendations_importance,discounts_importance,after_sales_importance,connectivity_importance,ai_features_importance,price_statement_agreement,less_expensive_choice_likelihood,budget_stretch_likelihood,online_review_check_frequency,recommendation_influence,future_same_brand_likelihood,current_brand_satisfaction,previous_brand_experience_importance,purchase_next_12_months,greatest_purchase_driver,desired_improvement
R199,18–24,Male,Self-employed / Business,"₹25,000–₹49,999",Northeast India,Vivo,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Brand's official online store,1,4,4,4,3,5,2,3,3,5,4,4,3,3,1,2,5,Sometimes,5,2,3,2,5,Recommendations,Lower prices
R200,25–34,Female,Professional,"₹50,000–₹74,999",North India,Samsung,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Physical electronics store,2,5,4,4,4,3,2,4,4,4,3,3,3,3,2,3,5,Sometimes,4,3,4,5,3,Brand reputation,Better after-sales service
R201,35–44,Female,Self-employed / Business,"₹75,000–₹99,999",North India,Samsung,"₹20,000–₹29,999",1–2 years,"₹20,000–₹29,999",Online marketplace,4,4,4,4,3,4,5,4,4,4,3,4,4,3,4,4,3,Often,4,3,4,5,3,Design,Faster charging
R202,55 and above,Male,Professional,"₹75,000–₹99,999",Northeast India,Google Pixel,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Online marketplace,4,5,4,4,4,3,3,3,4,5,4,3,4,3,3,4,5,Sometimes,3,5,5,5,3,Recommendations,Better battery life
R203,25–34,Male,Student,"₹75,000–₹99,999",West India,Google Pixel,"₹50,000–₹74,999",More than 4 years,"₹50,000–₹74,999",Online marketplace,3,4,3,3,4,3,4,3,4,3,4,3,4,3,2,3,5,Always,5,5,5,4,4,Brand reputation,More durable design
R204,18–24,Male,Salaried employee,"₹50,000–₹74,999",East India,Motorola,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Brand showroom,2,5,3,4,4,3,4,3,2,4,3,3,4,3,2,3,4,Sometimes,3,4,5,5,4,Brand reputation,Faster charging
R205,18–24,Female,Salaried employee,"Below ₹25,000",North India,Nothing,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Physical electronics store,5,5,5,3,3,4,4,4,4,3,5,3,2,2,4,4,3,Sometimes,4,3,4,3,4,Discounts / Offers,Better performance
R206,18–24,Female,Professional,"₹1,00,000–₹1,49,999",East India,OPPO,"₹1,00,000 or above",1–2 years,"₹1,00,000 or above",Brand's official online store,1,5,4,4,3,3,2,3,5,4,3,3,4,4,1,1,5,Always,4,4,4,4,5,After-sales service,Better performance
R207,18–24,Male,Student,"₹1,00,000–₹1,49,999",Northeast India,Realme,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Physical electronics store,4,4,4,4,3,3,3,4,4,4,4,4,4,3,4,4,5,Sometimes,4,4,5,3,4,Recommendations,More durable design
R208,35–44,Female,Salaried employee,"₹75,000–₹99,999",East India,Realme,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Brand's official online store,4,4,4,4,4,3,2,4,3,4,4,4,4,4,4,4,4,Rarely,4,5,5,4,3,Camera quality,Lower prices
R209,18–24,Male,Self-employed / Business,No personal income,South India,Xiaomi,"Below ₹10,000",1–2 years,"Below ₹10,000",Online marketplace,3,5,4,4,5,4,5,4,3,4,3,2,4,3,2,3,5,Rarely,5,5,5,5,3,Brand reputation,Better battery life
R210,25–34,Female,Student,"Below ₹25,000",East India,OnePlus,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Online marketplace,3,5,4,3,5,3,2,4,2,2,3,2,3,2,3,3,4,Rarely,4,5,5,4,5,Battery life,Better camera quality
R211,35–44,Female,Salaried employee,"₹75,000–₹99,999",Central India,Samsung,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Brand's official online store,3,3,3,3,3,4,3,3,3,4,4,4,3,3,2,4,5,Often,4,4,4,5,4,After-sales service,Better camera quality
R212,25–34,Female,Professional,No personal income,Central India,Vivo,"₹30,000–₹49,999",1–2 years,"₹30,000–₹49,999",Online marketplace,4,4,3,4,5,5,3,3,3,4,5,3,4,4,4,5,4,Sometimes,4,1,5,3,3,Discounts / Offers,Longer software support
R213,18–24,Female,Self-employed / Business,Prefer not to say,South India,Samsung,"₹30,000–₹49,999",2–3 years,"₹30,000–₹49,999",Brand showroom,4,4,4,4,4,4,2,3,4,4,4,4,3,3,4,4,3,Sometimes,4,3,4,4,4,Brand reputation,Better battery life
R214,45–54,Female,Salaried employee,"₹25,000–₹49,999",East India,Samsung,"Below ₹10,000",3–4 years,"Below ₹10,000",Physical electronics store,1,4,4,4,3,4,4,4,3,4,2,4,4,3,2,3,4,Sometimes,5,2,4,3,4,Storage,Longer software support
R215,35–44,Male,Professional,"₹75,000–₹99,999",North India,Xiaomi,"₹10,000–₹19,999",1–2 years,"₹10,000–₹19,999",Online marketplace,4,4,4,3,4,3,5,3,4,5,2,3,2,2,3,4,4,Often,4,2,5,4,3,Display,Lower prices
R216,35–44,Male,Salaried employee,"₹1,00,000–₹1,49,999",South India,OnePlus,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Brand's official online store,3,4,3,3,4,2,3,4,3,4,4,2,3,4,3,4,4,Rarely,3,3,5,4,4,Discounts / Offers,More durable design
R217,18–24,Male,Professional,"₹25,000–₹49,999",North India,Samsung,"₹20,000–₹29,999",3–4 years,"₹20,000–₹29,999",Online marketplace,5,5,4,4,4,3,2,4,2,4,4,4,5,2,4,5,3,Rarely,2,5,5,5,3,Connectivity,Lower prices
R218,18–24,Male,Salaried employee,"₹25,000–₹49,999",East India,Realme,"Below ₹10,000",3–4 years,"Below ₹10,000",Other,1,4,5,3,3,4,2,3,3,5,4,4,3,3,2,2,5,Sometimes,3,2,3,4,4,Performance,Better after-sales service
R219,55 and above,Female,Salaried employee,"₹50,000–₹74,999",East India,Motorola,"₹30,000–₹49,999",3–4 years,"₹30,000–₹49,999",Brand showroom,5,3,4,4,4,3,3,3,4,4,4,3,3,3,5,5,4,Often,3,1,4,4,2,Price,Better after-sales service
R220,25–34,Female,Salaried employee,"₹50,000–₹74,999",South India,Apple,"₹50,000–₹74,999",2–3 years,"₹50,000–₹74,999",Brand showroom,4,4,4,3,2,3,3,5,4,3,4,3,3,2,2,4,3,Sometimes,4,4,4,4,3,Design,Better camera quality
